0			inf
0.1			inf
0.2			inf
0.3			inf
0.4			inf
0.5			inf
0.6			inf
0.7			inf
0.8			inf
0.9			inf
1			inf
1.1			1468.55
1.2			1388.49
1.3			1318.58
1.4			1257.33
1.5			1203.54
1.6			1156.24
1.7			1114.65
1.8			1078.12
1.9			1046.09
2			1018.1
2.1			993.766
2.2			972.739
2.3			954.729
2.4			939.477
2.5			926.758
2.6			916.374
2.7			908.149
2.8			901.925
2.9			897.562
3			894.933
3.1			893.926
3.2			894.436
3.3			896.371
3.4			899.646
3.5			904.182
3.6			909.909
3.7			916.761
3.8			924.679
3.9			933.606
4			943.493
4.1			954.291
4.2			965.957
4.3			978.449
4.4			991.731
4.5			1005.77
4.6			1020.52
4.7			1035.96
4.8			1052.07
4.9			1068.81
5			1086.15
5.1			1104.08
5.2			1122.57
5.3			1141.59
5.4			1161.14
5.5			1181.19
5.6			1201.72
5.7			1222.71
5.8			1244.15
5.9			1266.03
6			1288.32
